iter	Passed	Remaining
428	1602	2133
429	1607	2130
430	1610	2125
431	1613	2121
432	1616	2116
433	1619	2111
434	1622	2106
435	1625	2102
436	1628	2097
437	1630	2092
438	1633	2087
439	1636	2083
440	1639	2078
441	1642	2073
442	1645	2069
443	1649	2065
444	1652	2061
445	1655	2056
446	1659	2052
447	1662	2048
448	1665	2043
449	1668	2039
450	1671	2034
451	1674	2030
452	1677	2025
453	1681	2022
454	1686	2019
455	1690	2016
456	1694	2013
457	1698	2010
458	1703	2007
459	1707	2004
460	1711	2001
461	1715	1998
462	1720	1995
463	1724	1991
464	1728	1988
465	1732	1985
466	1737	1982
467	1741	1979
468	1745	1976
469	1749	1972
470	1753	1969
471	1757	1966
472	1761	1963
473	1766	1959
474	1770	1957
475	1774	1953
476	1778	1950
477	1782	1946
478	1786	1943
479	1790	1939
480	1794	1935
481	1798	1932
482	1801	1928
483	1805	1925
484	1809	1921
485	1813	1917
486	1817	1914
487	1821	1911
488	1825	1907
489	1829	1903
490	1833	1900
491	1836	1896
492	1840	1892
493	1844	1889
494	1848	1885
495	1852	1882
496	1856	1878
497	1859	1873
498	1862	1869
499	1865	1865
500	1868	1860
501	1870	1855
502	1873	1851
503	1876	1846
504	1879	1842
505	1882	1838
506	1885	1833
507	1888	1829
508	1891	1824
509	1894	1820
510	1897	1815
511	1900	1811
512	1903	1807
513	1906	1802
514	1909	1798
515	1912	1794
516	1915	1789
517	1918	1785
518	1921	1781
519	1925	1777
520	1928	1772
521	1931	1768
522	1934	1764
523	1937	1759
524	1940	1756
525	1943	1751
526	1946	1747
527	1949	1742
528	1952	1738
529	1955	1734
530	1958	1729
531	1961	1725
532	1964	1721
533	1968	1717
534	1971	1713
535	1974	1709
536	1977	1704
537	1981	1701
538	1985	1698
539	1988	1693
540	1992	1690
541	1996	1686
542	1999	1682
543	2002	1678
544	2005	1674
545	2008	1670
546	2012	1666
547	2015	1662
548	2018	1657
549	2021	1653
550	2024	1649
551	2027	1645
552	2030	1641
553	2033	1637
554	2036	1633
555	2039	1628
556	2043	1625
557	2046	1621
558	2049	1617
559	2053	1613
560	2056	1609
561	2059	1605
562	2062	1601
563	2065	1596
564	2068	1592
565	2071	1588
566	2074	1584
567	2078	1580
568	2081	1576
569	2084	1572
570	2087	1568
571	2089	1563
572	2093	1559
573	2096	1555
574	2099	1551
575	2102	1547
576	2105	1543
577	2108	1539
578	2111	1535
579	2114	1531
580	2117	1527
581	2120	1523
582	2124	1519
583	2127	1515
584	2130	1511
585	2133	1507
586	2136	1503
587	2139	1499
588	2142	1495
589	2147	1492
590	2150	1488
591	2153	1483
592	2156	1479
593	2159	1475
594	2162	1471
595	2165	1467
596	2168	1463
597	2171	1459
598	2175	1456
599	2178	1452
600	2181	1448
601	2184	1444
602	2187	1440
603	2191	1436
604	2194	1432
605	2197	1428
606	2200	1424
607	2204	1421
608	2208	1417
609	2211	1413
610	2214	1409
611	2217	1405
612	2220	1401
613	2223	1397
614	2226	1393
615	2229	1389
616	2232	1385
617	2235	1381
618	2239	1378
619	2242	1374
620	2245	1370
621	2248	1366
622	2251	1362
623	2255	1359
624	2258	1355
625	2261	1351
626	2265	1347
627	2268	1343
628	2271	1339
629	2274	1335
630	2277	1331
631	2280	1327
632	2283	1324
633	2286	1320
634	2289	1316
635	2293	1312
636	2296	1308
637	2299	1304
638	2302	1300
639	2305	1296
640	2308	1293
641	2311	1289
642	2314	1285
643	2317	1281
644	2321	1277
645	2324	1273
646	2327	1269
647	2330	1265
648	2333	1261
649	2336	1258
650	2339	1254
651	2342	1250
652	2345	1246
653	2349	1242
654	2353	1239
655	2356	1235
656	2359	1231
657	2362	1227
658	2364	1223
659	2369	1220
660	2372	1216
661	2375	1213
662	2378	1209
663	2381	1205
664	2385	1201
665	2388	1197
666	2390	1193
667	2394	1189
668	2397	1186
669	2400	1182
670	2404	1178
671	2407	1174
672	2410	1171
673	2413	1167
674	2417	1164
675	2420	1160
676	2423	1156
677	2426	1152
678	2429	1148
679	2433	1145
680	2436	1141
681	2439	1137
682	2442	1133
683	2445	1129
684	2448	1126
685	2451	1122
686	2454	1118
687	2457	1114
688	2460	1110
689	2464	1107
690	2473	1106
691	2481	1104
692	2487	1101
693	2492	1098
694	2498	1096
695	2502	1092
696	2506	1089
697	2509	1085
698	2513	1082
699	2516	1078
700	2519	1074
701	2522	1070
702	2526	1067
703	2529	1063
704	2532	1059
705	2535	1056
706	2538	1052
707	2542	1048
708	2546	1045
709	2549	1041
710	2552	1037
711	2555	1033
712	2558	1029
713	2562	1026
714	2565	1022
715	2568	1018
716	2571	1014
717	2574	1011
718	2577	1007
719	2580	1003
720	2583	999
721	2586	995
722	2589	992
723	2592	988
724	2595	984
725	2598	980
726	2601	976
727	2604	973
728	2607	969
729	2610	965
730	2613	961
731	2616	957
732	2619	954
733	2622	950
734	2626	946
735	2629	943
736	2632	939
737	2635	935
738	2638	931
739	2641	928
740	2644	924
741	2647	920
742	2650	916
743	2653	913
744	2657	909
745	2661	906
746	2665	902
747	2669	899
748	2673	895
749	2677	892
750	2681	889
751	2685	885
752	2690	882
753	2694	879
754	2698	875
755	2702	872
756	2706	868
757	2710	865
758	2715	862
759	2719	858
760	2723	855
761	2728	852
762	2732	848
763	2736	845
764	2740	841
765	2744	838
766	2748	834
767	2751	831
768	2756	828
769	2760	824
770	2764	821
771	2768	817
772	2772	814
773	2776	810
774	2780	807
775	2784	803
776	2788	800
777	2792	796
778	2796	793
779	2799	789
780	2803	786
781	2807	782
782	2811	779
783	2815	775
784	2819	772
785	2823	768
786	2827	765
787	2831	761
788	2835	758
789	2839	754
790	2842	751
791	2846	747
792	2850	744
793	2854	740
794	2857	736
795	2860	733
796	2863	729
797	2866	725
798	2869	721
799	2872	718
800	2876	714
801	2878	710
802	2882	707
803	2885	703
804	2888	699
805	2891	695
806	2894	692
807	2897	688
808	2900	684
809	2903	681
810	2906	677
811	2909	673
812	2913	670
813	2916	666
814	2919	662
815	2922	659
816	2925	655
817	2928	651
818	2931	647
819	2935	644
820	2938	640
821	2941	636
822	2944	633
823	2948	629
824	2953	626
825	2957	623
826	2960	619
827	2963	615
828	2966	611
829	2970	608
830	2973	604
831	2976	600
832	2979	597
833	2982	593
834	2986	590
835	2989	586
836	2993	582
837	2996	579
838	2999	575
839	3002	571
840	3005	568
841	3008	564
842	3011	560
843	3014	557
844	3017	553
845	3020	549
846	3023	546
847	3026	542
848	3029	538
849	3032	535
850	3035	531
851	3038	527
852	3041	524
853	3044	520
854	3047	516
855	3050	513
856	3053	509
857	3056	505
858	3059	502
859	3062	498
860	3065	494
861	3068	491
862	3070	487
863	3073	483
864	3076	480
865	3079	476
866	3082	472
867	3085	469
868	3088	465
869	3091	461
870	3094	458
871	3097	454
872	3100	451
873	3103	447
874	3106	443
875	3109	440
876	3113	436
877	3116	432
878	3119	429
879	3122	425
880	3125	422
881	3128	418
882	3131	414
883	3134	411
884	3137	407
885	3140	404
886	3143	400
887	3147	396
888	3149	393
889	3152	389
890	3155	386
891	3158	382
892	3162	378
893	3165	375
894	3168	371
895	3171	368
896	3174	364
897	3177	360
898	3180	357
899	3183	353
900	3186	350
901	3189	346
902	3192	342
903	3195	339
904	3198	335
905	3201	332
906	3204	328
907	3206	324
908	3210	321
909	3214	317
910	3217	314
911	3219	310
912	3222	307
913	3226	303
914	3228	299
915	3231	296
916	3235	292
917	3238	289
918	3241	285
919	3244	282
920	3247	278
921	3250	274
922	3253	271
923	3256	267
924	3259	264
925	3262	260
926	3265	257
927	3268	253
928	3271	250
929	3274	246
930	3277	242
931	3280	239
932	3283	235
933	3285	232
934	3288	228
935	3291	225
936	3294	221
937	3298	218
938	3301	214
939	3304	210
940	3307	207
941	3310	203
942	3313	200
943	3316	196
944	3319	193
945	3322	189
946	3325	186
947	3328	182
948	3331	179
949	3334	175
950	3337	171
951	3341	168
952	3344	164
953	3347	161
954	3349	157
955	3352	154
956	3356	150
957	3359	147
958	3362	143
959	3365	140
960	3368	136
961	3371	133
962	3374	129
963	3377	126
964	3380	122
965	3383	119
966	3386	115
967	3389	112
968	3392	108
969	3395	105
970	3398	101
971	3401	97
972	3405	94
973	3408	90
974	3410	87
975	3413	83
976	3416	80
977	3419	76
978	3422	73
979	3425	69
980	3428	66
981	3431	62
982	3434	59
983	3437	55
984	3440	52
985	3443	48
986	3446	45
987	3449	41
988	3453	38
989	3455	34
990	3458	31
991	3461	27
992	3464	24
993	3467	20
994	3471	17
995	3474	13
996	3476	10
997	3479	6
998	3482	3
999	3485	0
